,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Jimma,ET,7.6667,36.8333,57.22,94,20,1.5,few clouds
306,Sinnamary,GF,5.3833,-52.95,82.33,77,82,10.8,broken clouds
307,Purulha,GT,15.2667,-90.2,71.76,90,100,3.2,overcast clouds
308,Areka,ET,7.0667,37.7,60.6,88,82,0.96,light rain
309,Zyryanka,RU,65.75,150.85,58.42,64,97,8.88,overcast clouds
310,Orangeburg,US,33.4918,-80.8557,89.94,61,0,6.91,clear sky
311,Megion,RU,61.0296,76.1136,57.22,77,48,14.9,light rain
312,Estefania,PH,17.7976,121.7253,75.04,96,81,3.87,broken clouds
313,San Cristobal,VE,7.7669,-72.225,78.98,74,75,5.95,broken clouds
314,Minna,NG,9.6139,6.5569,76.71,88,40,3.44,moderate rain
315,Palmer,US,42.1584,-72.3287,81.63,62,75,8.05,broken clouds
316,Lompoc,US,34.6391,-120.4579,83.01,73,100,8.05,overcast clouds
317,San Pedro,PH,14.35,121.0167,78.03,93,75,1.14,broken clouds
318,Arcata,US,40.8665,-124.0828,65.59,77,100,8.05,overcast clouds
319,Coahuayana,MX,18.7333,-103.6833,87.44,65,91,7.05,overcast clouds
320,Sheopur,IN,25.6667,76.7,79.23,76,93,5.55,overcast clouds
321,Tual,ID,-5.6667,132.75,79.93,85,100,13.6,overcast clouds
322,Pervomayskoye,RU,43.919,46.7102,75.78,51,0,18.28,clear sky
323,Haverfordwest,GB,51.8017,-4.9691,62.19,88,89,9.31,overcast clouds
324,Ekibastuz,KZ,51.6667,75.3667,57.81,48,0,1.77,clear sky
325,Nadym,RU,65.5333,72.5167,37.26,81,77,8.93,broken clouds
326,Ahipara,NZ,-35.1667,173.1667,54.21,84,4,7.85,clear sky
327,Sangerhausen,DE,51.4667,11.3,63.52,61,0,5.95,clear sky
328,Constitucion,CL,-35.3333,-72.4167,61.65,60,0,7.72,clear sky
329,Lorengau,PG,-2.0226,147.2712,80.98,82,100,11.61,moderate rain
330,Rimouski,CA,48.4488,-68.524,73.58,70,97,10.8,overcast clouds
331,Gigmoto,PH,13.7796,124.39,80.83,83,85,5.44,overcast clouds
332,Vardo,NO,70.3705,31.1107,48.18,93,100,8.05,overcast clouds
333,Ginir,ET,7.1333,40.7,63.32,59,68,8.21,broken clouds
334,Jhang,PK,33.6748,72.6963,80.62,70,0,5.93,clear sky
335,Kedrovyy,RU,56.1667,91.8167,48.87,95,100,12.12,light rain
336,Gat,IL,31.61,34.7642,83.08,100,0,8.63,clear sky
337,Marand,IR,38.4329,45.7749,70.59,28,0,6.26,clear sky
338,Diamantino,BR,-14.4086,-56.4461,96.8,16,34,7.78,scattered clouds
339,Airai,TL,-8.9266,125.4092,55.65,85,16,3.15,few clouds
340,Arlit,NE,18.7369,7.3853,83.23,48,100,0.81,overcast clouds
341,San Quintin,MX,30.4833,-115.95,74.05,69,8,14.99,clear sky
342,Omboue,GA,-1.5746,9.2618,74.17,79,99,5.48,overcast clouds
343,Norton,ZW,-17.8833,30.7,63.01,38,2,10.31,clear sky
344,Nome,US,64.5011,-165.4064,53.17,62,0,8.05,clear sky
345,Uyuni,BO,-20.4597,-66.825,53.71,26,100,7.76,overcast clouds
346,Beipiao,CN,41.7919,120.7792,57.61,82,100,8.25,overcast clouds
347,Gao,ML,16.6362,1.637,86.5,48,66,7.02,broken clouds
